ML Catalog Number	Format	Common Name	Scientific Name	Background Species	Caption	Recordist	Date	Year	Month	Day	Time	Country	Country-State-County	State	County	Locality	Latitude	Longitude	Age/Sex	Behaviors	Playback	Captive	Collected	Specimen ID	Home Archive Catalog Number	Recorder	Microphone	Accessory	Partner Institution	eBird Checklist ID	Unconfirmed	Air Temp(¡C)	Water Temp(¡C)	Media notes	Observation Details	Parent Species	eBird Species Code	Taxon Category	Taxonomic Sort	Recordist 2	Average Community Rating	Number of Ratings	Asset Tags	Original Image Height	Original Image Width
646538505	Photo	Australian Pratincole	Glareola isabella			Denis Rivard	2025-11-10	2025	11	10	1915	Australia	AU-NSW-CON	New South Wales	Conargo	Warwillah Rd, Wanganella (no access away from roadway)	-35.0735593	144.8609594			Unspecified	FALSE	FALSE							S283855987						Glareola isabella	auspra1	Species	6343		3	1		1688	3000
646982981	Photo	Australian Raven	Corvus coronoides			Denis Rivard	2025-11-25	2025	11	25	1409	Australia	AU-NSW-MAN	New South Wales	Manly	Shelly Beach and headland (Manly)	-33.7999199	151.298325	Juvenile Ð 2		Unspecified	FALSE	FALSE							S286035363						Corvus coronoides	ausrav1	Species	21608		0	0		1687	3000
646303926	Photo	Australian Ringneck	Barnardius zonarius			Denis Rivard	2025-11-05	2025	11	5	1619	Australia	AU-SA-UNI	South Australia	Unincorporated SA	Ikara-Flinders Ranges National Park--Wilpena Pound Campground	-31.5252589	138.6027667			Unspecified	FALSE	FALSE							S282947450						Barnardius zonarius	polpar1	Species	12472		0	0		1688	3000
646300690	Photo	Australian Ringneck	Barnardius zonarius			Denis Rivard	2025-11-05	2025	11	5	1619	Australia	AU-SA-UNI	South Australia	Unincorporated SA	Ikara-Flinders Ranges National Park--Wilpena Pound Campground	-31.5252589	138.6027667			Unspecified	FALSE	FALSE							S282947450						Barnardius zonarius	polpar1	Species	12472		0	0		1688	3000
421733671	Photo	Band-tailed Pigeon (White-necked)	Patagioenas fasciata [albilinea Group]			Denis Rivard	2014-12-20	2014	12	20	721	Colombia	CO-CAL	Caldas		Reserva Ecolgica Ro Blanco--Lodge	5.0732224	-75.4378641			Unspecified	FALSE	FALSE							S20960630						Patagioenas fasciata	batpig3	Group	1972		3	1		2700	4800
646534612	Photo	Banded Lapwing	Vanellus tricolor			Denis Rivard	2025-11-10	2025	11	10	1915	Australia	AU-NSW-CON	New South Wales	Conargo	Warwillah Rd, Wanganella (no access away from roadway)	-35.0735593	144.8609594			Unspecified	FALSE	FALSE							S283855987						Vanellus tricolor	banlap1	Species	5890		0	0		1688	3000
646533979	Photo	Banded Lapwing	Vanellus tricolor			Denis Rivard	2025-11-10	2025	11	10	1915	Australia	AU-NSW-CON	New South Wales	Conargo	Warwillah Rd, Wanganella (no access away from roadway)	-35.0735593	144.8609594			Unspecified	FALSE	FALSE							S283855987						Vanellus tricolor	banlap1	Species	5890		0	0		1688	3000
404534591	Photo	Barrow's Goldeneye	Bucephala islandica			Denis Rivard	2022-01-10	2022	1	10	1442	Canada	CA-ON-OT	Ontario	Ottawa	Ottawa--Rideau River Eastern Pathway north of Hurdman Bridge	45.4191765	-75.6632889			Unspecified	FALSE	FALSE							S100506914						Bucephala islandica	bargol	Species	748		0	0		2250	4000
128409561	Photo	Bewick's Wren	Thryomanes bewickii			Denis Rivard	2013-10-14	2013	10	14	906	United States	US-CA-073	California	San Diego	Balboa Park--general area	32.7351597	-117.1457885	Adult		Unspecified									S15405311						Thryomanes bewickii	bewwre	Species	27362		3	1	Watermark	683	1024
79496601	Photo	Black Catbird	Melanoptila glabrirostris			Denis Rivard	2017-12-18	2017	12	18	847	Mexico	MX-ROO-002	Quintana Roo	Cozumel	El Cedral (Pueblo)	20.3690898	-86.9935226			Unspecified	FALSE	FALSE							S41173836						Melanoptila glabrirostris	blacat1	Species	27999		4.33	3		562	1000
646976210	Photo	Black Currawong	Strepera fuliginosa			Denis Rivard	2025-11-23	2025	11	23	1143	Australia	AU-TAS-HOB	Tasmania	Hobart	Fern Tree	-42.92286	147.26057			Unspecified	FALSE	FALSE							S285690908						Strepera fuliginosa	blacur2	Species	19814		0	0		1687	3000
124360531	Photo	Black Phoebe	Sayornis nigricans			Denis Rivard	2018-10-26	2018	10	26	1141	United States	US-CA-087	California	Santa Cruz	Natural Bridges SB	36.9523782	-122.0567107			Unspecified	FALSE	FALSE							S49474435						Sayornis nigricans	blkpho	Species	16998		4	1		2717	2174
461965411	Photo	Black-and-yellow Tanager	Chrysothlypis chrysomelas			Denis Rivard	2022-06-06	2022	6	6	851	Costa Rica	CR-C	Cartago		Refugio de Vida Silvestre La Marta (Pejibaye)	9.7821446	-83.6882365	Adult Female Ð 1		Unspecified	FALSE	FALSE							S112320203						Chrysothlypis chrysomelas	baytan2	Species	35230		3.5	2		2880	5120
646596172	Photo	Black-chinned Honeyeater	Melithreptus gularis			Denis Rivard	2025-11-12	2025	11	12	759	Australia	AU-VIC-IND	Victoria	Indigo	Chiltern-Mt Pilot National Park--Barnawartha Depot Road	-36.131143	146.6617981			Unspecified	FALSE	FALSE							S284059663						Melithreptus gularis	blchon2	Species	18138		4	2		1688	3000
531939091	Photo	Black-crowned Tchagra	Tchagra senegalus			Denis Rivard	2014-09-25	2014	9	25	800	South Africa	ZA-LP	Limpopo		Kruger NP--Letaba-Olifants Rd	-23.9473511	31.6148758			Unspecified	FALSE	FALSE							S20317879						Tchagra senegalus	bkctch1	Species	20071		5	2		1688	3000
646922978	Photo	Black-faced Cormorant	Phalacrocorax fuscescens			Denis Rivard	2025-11-19	2025	11	19	1356	Australia	AU-TAS-KIN	Tasmania	Kingborough	Alonnah	-43.3177	147.24491			Unspecified	FALSE	FALSE							S285124377						Phalacrocorax fuscescens	blfcor1	Species	7417		4	1		1688	3000
194170131	Photo	Brown-billed Scythebill	Campylorhamphus pusillus			Denis Rivard	2019-11-15	2019	11	15	730	Colombia	CO-CUN	Cundinamarca		Laguna de Pedro Palo	4.6836883	-74.3870544			Unspecified	FALSE	FALSE							S61468916						Campylorhamphus pusillus	brbscy1	Species	14912		2.6	5		1000	667
531171721	Photo	Brown-crowned Tchagra	Tchagra australis			Denis Rivard	2014-10-15	2014	10	15	700	Botswana	BW-NW	North-West		Okavango Delta--Moremi GR (Please use more specific locations)	-19.2742025	23.1948853			Unspecified	FALSE	FALSE							S20880227						Tchagra australis	brctch1	Species	20083		4	2		1688	3000
77194601	Photo	Brown-headed Honeyeater	Melithreptus brevirostris			Denis Rivard	2017-10-14	2017	10	14	1010	Australia	AU-NSW-SHO	New South Wales	Shoalhaven	Booderee National Park--Cave Beach	-35.1630032	150.6671047	Adult		Unspecified	FALSE	FALSE							S39909626						Melithreptus brevirostris	brhhon1	Species	18132		1	1		427	640
550415961	Photo	Brown-headed Parrot	Poicephalus cryptoxanthus			Denis Rivard	2014-09-26	2014	9	26	800	South Africa	ZA-LP	Limpopo		Kruger NP--Letaba-Olifants Rd	-23.9473511	31.6148758			Unspecified	FALSE	FALSE							S20351042						Poicephalus cryptoxanthus	brhpar2	Species	12781		5	1		1688	3000
531520061	Photo	Brown-headed Parrot	Poicephalus cryptoxanthus			Denis Rivard	2014-09-25	2014	9	25	800	South Africa	ZA-LP	Limpopo		Kruger NP--Letaba-Olifants Rd	-23.9473511	31.6148758			Unspecified	FALSE	FALSE							S20317879						Poicephalus cryptoxanthus	brhpar2	Species	12781		3	1		1688	3000
194221301	Photo	Buff-banded Mountain Tanager	Dubusia taeniata			Denis Rivard	2019-11-16	2019	11	16	652	Colombia	CO-CUN	Cundinamarca		PNN Chingaza (Dept. Cundinamarca)	4.7111544	-73.8063583			Unspecified	FALSE	FALSE							S61489575						Dubusia taeniata	bubmot3	Group	34902		2	2		667	1000
124365731	Photo	Bushtit	Psaltriparus minimus			Denis Rivard	2018-10-26	2018	10	26	1141	United States	US-CA-087	California	Santa Cruz	Natural Bridges SB	36.9523782	-122.0567107			Unspecified	FALSE	FALSE							S49474435						Psaltriparus minimus	bushti	Species	25253		4.5	2		1748	3108
128412451	Photo	California Thrasher	Toxostoma redivivum			Denis Rivard	2013-10-12	2013	10	12	1614	United States	US-CA-073	California	San Diego	I5 Lookout	33.323618	-117.486097	Adult		Unspecified	FALSE	FALSE							S15388731						Toxostoma redivivum	calthr	Species	28054		4.5	2		683	1024
646696822	Photo	Cape Barren Goose	Cereopsis novaehollandiae			Denis Rivard	2025-11-14	2025	11	14	1221	Australia	AU-VIC-GGE	Victoria	Greater Geelong	Serendip Sanctuary	-38.0052428	144.4125366			Unspecified	FALSE	FALSE							S284346430						Cereopsis novaehollandiae	cabgoo1	Species	372		0	0		1687	3000
646452470	Photo	Chestnut-rumped Thornbill	Acanthiza uropygialis			Denis Rivard	2025-11-08	2025	11	8	1724	Australia	AU-VIC-MIL	Victoria	Mildura	Galah	-35.08423	142.17338			Unspecified	FALSE	FALSE							S283396802						Acanthiza uropygialis	chrtho1	Species	18415		3	1		1688	3000
531957791	Photo	Chinspot Batis	Batis molitor			Denis Rivard	2014-09-25	2014	9	25	800	South Africa	ZA-LP	Limpopo		Kruger NP--Letaba-Olifants Rd	-23.9473511	31.6148758	Adult Female Ð 1		Unspecified	FALSE	FALSE							S20317879						Batis molitor	chibat1	Species	19875		3.5	2		1688	3000
647033150	Photo	Cinnamon Quail-thrush	Cinclosoma cinnamomeum			Denis Rivard	2025-11-04	2025	11	4	753	Australia	AU-SA-UNI	South Australia	Unincorporated SA	17Ð29 Mulgaria Rd, Witchelina AU-SA -30.06746, 138.13051	-30.067464	138.130511	Adult Female Ð 1; Adult Male Ð 1		Unspecified	FALSE	FALSE							S282786364						Cinclosoma cinnamomeum	ciqthr1	Species	18539		3	1		1687	3000
192044691	Photo	Collared Trogon (Orange-bellied)	Trogon collaris aurantiiventris/underwoodi			Denis Rivard	2019-11-11	2019	11	11	730	Panama	PA-2	Cocl		Camino a Las Minas	8.6170043	-80.1383972			Unspecified	FALSE	FALSE							S61363985						Trogon collaris	orbtro1	Group	9581		3	1		900	1600
514725941	Photo	Collared/Pale-mandibled Aracari	Pteroglossus torquatus/erythropygius			Denis Rivard	2017-04-07	2017	4	7	1611	Panama	PA-5	Darin		Canopy Camp	8.3894164	-77.8716233			Unspecified	FALSE	FALSE							S35777823						Pteroglossus torquatus/erythropygius	colara1	Species	10893		0	0		1688	3000
563221231	Photo	Common Greenshank	Tringa nebularia			Denis Rivard	2014-09-26	2014	9	26	800	South Africa	ZA-LP	Limpopo		Kruger NP--Letaba-Olifants Rd	-23.9473511	31.6148758			Unspecified	FALSE	FALSE							S20351042						Tringa nebularia	comgre	Species	6152		3.5	2		1688	3000
570930111	Photo	Common Nighthawk	Chordeiles minor			Denis Rivard	2023-05-12	2023	5	12	1111	Canada	CA-ON-ES	Ontario	Essex	Point Pelee NP--Tilden Woods Trail	41.9354075	-82.5108647			Unspecified	FALSE	FALSE							S137230099						Chordeiles minor	comnig	Species	3492		4.33	3		1324	2354
128411361	Photo	Common Raven	Corvus corax			Denis Rivard	2013-10-21	2013	10	21	1414	United States	US-CA-083	California	Santa Barbara	Santa Cruz Island--Scorpion Canyon Campgrounds	34.0484615	-119.5645389	Adult		Unspecified	FALSE	FALSE							S15464627						Corvus corax	comrav	Species	21624		3	1		683	1024
77113691	Photo	Common Raven	Corvus corax			Denis Rivard	2017-12-03	2017	12	3	1208	Canada	CA-ON-OT	Ontario	Ottawa	Britannia CA (general location)	45.3711229	-75.7915535			Unspecified	FALSE	FALSE							S40884569					Common raven catching a wild mouse on top of a tall tree.	Corvus corax	comrav	Species	21624		2	1		360	640
79499331	Photo	Couch's Kingbird	Tyrannus couchii			Denis Rivard	2017-12-18	2017	12	18	847	Mexico	MX-ROO-002	Quintana Roo	Cozumel	El Cedral (Pueblo)	20.3690898	-86.9935226			Unspecified	FALSE	FALSE							S41173836						Tyrannus couchii	coukin	Species	17459		5	2		667	1000
79476701	Photo	Cozumel Emerald	Cynanthus forficatus			Denis Rivard	2017-12-18	2017	12	18	847	Mexico	MX-ROO-002	Quintana Roo	Cozumel	El Cedral (Pueblo)	20.3690898	-86.9935226			Unspecified	FALSE	FALSE							S41173836						Cynanthus forficatus	cozeme1	Species	4882		5	1		667	1000
79642081	Photo	Cozumel Vireo	Vireo bairdi			Denis Rivard	2017-12-18	2017	12	18	1253	Mexico	MX-ROO-002	Quintana Roo	Cozumel	Entrada a Club de Campo Cozumel	20.551511	-86.9196318	Adult		Unspecified	FALSE	FALSE							S41178613						Vireo bairdi	cozvir1	Species	19191		3.5	2		563	1000
646428575	Photo	Crested Bellbird	Oreoica gutturalis			Denis Rivard	2025-11-08	2025	11	8	837	Australia	AU-VIC-MIL	Victoria	Mildura	Yarrara Flora and Fauna Reserve	-34.4111726	141.425457			Unspecified	FALSE	FALSE							S283358920						Oreoica gutturalis	crebel1	Species	18989		0	0		1688	3000
422045891	Photo	Crested Caracara (Northern)	Caracara plancus cheriway			Denis Rivard	2015-11-15	2015	11	15	1124	United States	US-FL-021	Florida	Collier	Oil Well Rd.	26.2949452	-81.4159482			Unspecified	FALSE	FALSE							S25839899						Caracara plancus	crecar1	Group	11963		5	1		2700	4800
79645371	Photo	Crested Caracara (Northern)	Caracara plancus cheriway			Denis Rivard	2017-12-21	2017	12	21	704	Mexico	MX-YUC-096	Yucatn	Tizimn	(21.4350,-87.7616)	21.435042	-87.761553	Adult		Unspecified	FALSE	FALSE							S41227147						Caracara plancus	crecar1	Group	11963		4	3		667	1000
626566614	Photo	Crested Drongo (Madagascar)	Dicrurus forficatus forficatus			Denis Rivard	2024-11-16	2024	11	16	628	Madagascar	MG-U	Toliara		Aire protge Tsinjoriake	-23.4237615	43.8065546			Unspecified	FALSE	FALSE							S202615997						Dicrurus forficatus	credro2	Group	20431		0	0		1687	3000
626566609	Photo	Crested Drongo (Madagascar)	Dicrurus forficatus forficatus			Denis Rivard	2024-11-16	2024	11	16	628	Madagascar	MG-U	Toliara		Aire protge Tsinjoriake	-23.4237615	43.8065546			Unspecified	FALSE	FALSE							S202615997						Dicrurus forficatus	credro2	Group	20431		0	0		1688	3000
646517152	Photo	Crimson Rosella (Yellow)	Platycercus elegans flaveolus			Denis Rivard	2025-11-10	2025	11	10	1136	Australia	AU-NSW-DEN	New South Wales	Deniliquin	Murray Valley Regional Park--Deniliquin Town Block	-35.5303003	144.9735351			Unspecified	FALSE	FALSE							S283808018						Platycercus elegans	yelros1	Group	12486		0	0		3999	3000
646476464	Photo	Crimson Rosella (Yellow)	Platycercus elegans flaveolus			Denis Rivard	2025-11-09	2025	11	9	1748	Australia	AU-NSW-DEN	New South Wales	Deniliquin	Island Sanctuary, Deniliquin	-35.5329896	144.9683785			Unspecified	FALSE	FALSE							S283628839						Platycercus elegans	yelros1	Group	12486		1	1		1687	3000
646407459	Photo	Crimson Rosella (Yellow)	Platycercus elegans flaveolus			Denis Rivard	2025-11-06	2025	11	6	1700	Australia	AU-SA-MID	South Australia	Mid Murray	Hogwash Bend	-34.0664542	139.8523092			Unspecified	FALSE	FALSE							S283079943						Platycercus elegans	yelros1	Group	12486		0	0		1687	3000
474599351	Photo	Crowned Woodnymph (Green-crowned/Emerald-bellied)	Thalurania colombica (Green-crowned Woodnymph)			Denis Rivard	2019-04-10	2019	4	10	652	Ecuador	EC-P	Pichincha		San Jorge de Milpe	0.0443573	-78.8836813			Unspecified	FALSE	FALSE							S54776617						Thalurania colombica	grcwoo2	Form	4984		0	0		2531	4500
646557506	Photo	Diamond Firetail	Stagonopleura guttata			Denis Rivard	2025-11-11	2025	11	11	1148	Australia	AU-VIC-WAN	Victoria	Wangaratta	Warby-Ovens National Park--Nason Springs	-36.408591	146.217442			Unspecified	FALSE	FALSE							S283947043						Stagonopleura guttata	diafir1	Species	31014		0	0		1687	3000
546177511	Photo	Double-banded Graytail	Xenerpestes minlosi			Denis Rivard	2017-04-02	2017	4	2	1623	Panama	PA-5	Darin		Canopy Camp	8.3894164	-77.8716233			Unspecified	FALSE	FALSE							S35679439						Xenerpestes minlosi	dobgra1	Species	15461		3	1		1688	3000
646554606	Photo	Dusky Woodswallow	Artamus cyanopterus			Denis Rivard	2025-11-11	2025	11	11	1148	Australia	AU-VIC-WAN	Victoria	Wangaratta	Warby-Ovens National Park--Nason Springs	-36.408591	146.217442			Unspecified	FALSE	FALSE							S283947043						Artamus cyanopterus	duswoo1	Species	19761		0	0		1688	3000
646485790	Photo	Dusky Woodswallow	Artamus cyanopterus			Denis Rivard	2025-11-10	2025	11	10	618	Australia	AU-NSW-MUR	New South Wales	Murray	Murray Valley National Park--Gulpa Creek Reed Beds	-35.8342193	144.9497938			Unspecified	FALSE	FALSE							S283759296						Artamus cyanopterus	duswoo1	Species	19761		2	1		1687	3000
646517876	Photo	Eastern Shrike-tit	Falcunculus frontatus			Denis Rivard	2025-11-10	2025	11	10	1136	Australia	AU-NSW-DEN	New South Wales	Deniliquin	Murray Valley Regional Park--Deniliquin Town Block	-35.5303003	144.9735351			Unspecified	FALSE	FALSE							S283808018						Falcunculus frontatus	cresht1	Species	19002		0	0		1688	3000
646398807	Photo	Elegant Parrot	Neophema elegans			Denis Rivard	2025-11-06	2025	11	6	950	Australia	AU-SA-UNI	South Australia	Unincorporated SA	The Outback Hwy at Moralana Creek	-31.54972	138.42556			Unspecified	FALSE	FALSE							S283063153						Neophema elegans	elepar1	Species	12439		0	0		1688	3000
646398533	Photo	Elegant Parrot	Neophema elegans			Denis Rivard	2025-11-06	2025	11	6	950	Australia	AU-SA-UNI	South Australia	Unincorporated SA	The Outback Hwy at Moralana Creek	-31.54972	138.42556			Unspecified	FALSE	FALSE							S283063153						Neophema elegans	elepar1	Species	12439		0	0		1687	3000
646193948	Photo	Eurasian Coot	Fulica atra			Denis Rivard	2025-10-31	2025	10	31	1307	Australia	AU-NSW-BOT	New South Wales	Botany Bay	Sydney Airport Wetlands	-33.94222	151.1935			Unspecified	FALSE	FALSE							S282123952						Fulica atra	eurcoo	Species	5487		0	0		1687	3000
646698471	Photo	Eurasian Tree Sparrow	Passer montanus			Denis Rivard	2025-11-14	2025	11	14	1221	Australia	AU-VIC-GGE	Victoria	Greater Geelong	Serendip Sanctuary	-38.0052428	144.4125366			Unspecified	FALSE	FALSE							S284346430						Passer montanus	eutspa	Species	31603		5	1		1688	3000
194035951	Photo	Fawn-breasted Tanager	Pipraeidea melanonota			Denis Rivard	2019-11-15	2019	11	15	730	Colombia	CO-CUN	Cundinamarca		Laguna de Pedro Palo	4.6836883	-74.3870544			Unspecified	FALSE	FALSE							S61468916						Pipraeidea melanonota	fabtan1	Species	34917		3	1		562	1000
473943911	Photo	Flame-rumped Tanager (Lemon-rumped)	Ramphocelus flammigerus icteronotus			Denis Rivard	2019-04-07	2019	4	7	830	Ecuador	EC-P	Pichincha		Reserva Mashpi-Amagusa (Sergio y Doris)	0.1598	-78.8534	Adult Female Ð 1		Unspecified	FALSE	FALSE							S54680739						Ramphocelus flammigerus	flrtan3	Group	34798		5	1		3508	6236
646972026	Photo	Freckled Duck	Stictonetta naevosa			Denis Rivard	2025-11-21	2025	11	21	1451	Australia	AU-TAS-GLE	Tasmania	Glenorchy	Goulds Lagoon Wildlife Sanctuary	-42.7646267	147.2414303			Unspecified	FALSE	FALSE							S285385643						Stictonetta naevosa	freduc1	Species	375		0	0		1687	3000
646705832	Photo	Freckled Duck	Stictonetta naevosa			Denis Rivard	2025-11-14	2025	11	14	1644	Australia	AU-VIC-GGE	Victoria	Greater Geelong	Western Treatment Plant--Ponds 28-30 and Adjacent Coast (restricted access)	-38.02088	144.57164	Adult Male Ð 1		Unspecified	FALSE	FALSE							S284358969				Note head peaked at rear. With Eurasian Coot and Grey Teals.  		Stictonetta naevosa	freduc1	Species	375		0	0		1687	3000
194193141	Photo	Golden-bellied Starfrontlet	Coeligena bonapartei			Denis Rivard	2019-11-15	2019	11	15	1530	Colombia	CO-CUN	Cundinamarca		Parque Natural Chicaque	4.6064869	-74.3055153			Unspecified	FALSE	FALSE							S61473872						Coeligena bonapartei	gobsta1	Species	4652		4.5	2		667	1000
531942181	Photo	Golden-breasted Bunting	Emberiza flaviventris			Denis Rivard	2014-09-25	2014	9	25	800	South Africa	ZA-LP	Limpopo		Kruger NP--Letaba-Olifants Rd	-23.9473511	31.6148758			Unspecified	FALSE	FALSE							S20317879						Emberiza flaviventris	gobbun1	Species	32756		3	2		1688	3000
421418501	Photo	Golden-faced Tyrannulet (Golden-faced)	Zimmerius chrysops chrysops			Denis Rivard	2014-12-18	2014	12	18	719	Colombia	CO-CAL	Caldas		Reserva Ecolgica Ro Blanco--Lodge	5.0732224	-75.4378641			Unspecified	FALSE	FALSE							S20954319					Photo	Zimmerius chrysops	goftyr3	Group	16810		0	0		2700	4800
646907825	Photo	Gray Currawong	Strepera versicolor			Denis Rivard	2025-11-18	2025	11	18	1657	Australia	AU-TAS-KIN	Tasmania	Kingborough	Cemetery Beach	-43.34639	147.22583			Unspecified	FALSE	FALSE							S285006600						Strepera versicolor	grycur1	Species	19818		0	0		1688	3000
646975174	Photo	Gray Goshawk	Tachyspiza novaehollandiae			Denis Rivard	2025-11-22	2025	11	22	1549	Australia	AU-TAS-HOB	Tasmania	Hobart	Wellington Park--Sphinx Rock Track	-42.9052697	147.2473112			Unspecified	FALSE	FALSE							S285526160						Tachyspiza novaehollandiae	grygos1	Species	8187		0	0		1688	3000
646970889	Photo	Gray Teal	Anas gracilis			Denis Rivard	2025-11-21	2025	11	21	1451	Australia	AU-TAS-GLE	Tasmania	Glenorchy	Goulds Lagoon Wildlife Sanctuary	-42.7646267	147.2414303			Unspecified	FALSE	FALSE							S285385643						Anas gracilis	gretea1	Species	637		0	0		1687	3000
646207641	Photo	Gray Teal	Anas gracilis			Denis Rivard	2025-11-01	2025	11	1	1443	Australia	AU-SA-ADL	South Australia	Adelaide	Adelaide Botanic Garden	-34.9206779	138.6109024			Unspecified	FALSE	FALSE							S282256242						Anas gracilis	gretea1	Species	637		5	1		1688	3000
646207319	Photo	Gray Teal	Anas gracilis			Denis Rivard	2025-11-01	2025	11	1	1443	Australia	AU-SA-ADL	South Australia	Adelaide	Adelaide Botanic Garden	-34.9206779	138.6109024			Unspecified	FALSE	FALSE							S282256242						Anas gracilis	gretea1	Species	637		5	2		1687	3000
638318100	Photo	Gray-breasted Wood-Wren (bangsi)	Henicorhina leucophrys bangsi			Denis Rivard	2025-04-08	2025	4	8	804	Colombia	CO-MAG	Magdalena		Bellavista--Vereda	11.0949243	-74.0783644			Unspecified	FALSE	FALSE							S223933895						Henicorhina leucophrys	gybwow4	Group	27620		3.33	3		1688	3000
646516546	Photo	Gray-crowned Babbler	Pomatostomus temporalis			Denis Rivard	2025-11-10	2025	11	10	950	Australia	AU-NSW-CON	New South Wales	Conargo	Pretty Pine	-35.38457	144.86846			Unspecified	FALSE	FALSE							S283802736						Pomatostomus temporalis	gycbab1	Species	18504		0	0		1687	3000
