Old Order	Current order	Taxon Order	Category	English Name	French Name	Scientific Name	Order	Family	Taxon	Location	S/P	Date	LocID	SubID	Exotic	Countable
753	896	11939	species	Laughing Falcon	Macagua rieur	Herpetotheres cachinnans	Falconiformes	Falconidae (Falcons and Caracaras)	11939	Carretera 295/Ro Lagartos-Tizimn--Pantano a Km 90	MX-YUC	21-Dec-17	L2611603	S41235920		1
1641	487	6490	species	Laughing Gull	Mouette atricille	Leucophaeus atricilla	Charadriiformes	"Laridae (Gulls, Terns, and Skimmers)"	6490	Homestead Bayfront Park	US-FL	25-Dec-12	L127432	S15371112		1
885	801	10028	species	Laughing Kookaburra	Martin-chasseur gant	Dacelo novaeguineae	Coraciiformes	Alcedinidae (Kingfishers)	10028	Royal Botanic Gardens (Sydney)	AU-NSW	07-Oct-17	L915566	S39591405		1
2032	611	7670	species	Lava Heron	Hron des Galapagos	Butorides sundevalli	Pelecaniformes	"Ardeidae (Herons, Egrets, and Bitterns)"	7670	Espaola--Baha Gardner	EC-W	06-Jul-04	L471682	S102080263		1
465	316	4960	species	Lazuline Sabrewing	Campyloptre lazulite	Campylopterus falcatus	Apodiformes	Trochilidae (Hummingbirds)	4960	RNSC Rogitama Biodiversidad (Acceso Restringido)	CO-BOY	19-Nov-19	L23874322	S61592522		1
1488	596	7565	species	Least Bittern	Petit Blongios	Botaurus exilis	Pelecaniformes	"Ardeidae (Herons, Egrets, and Bitterns)"	7565	Colonel Samuel Smith Park	CA-ON	09-Sep-14	L421884	S19783790		1
1720	1189	16963	species	Least Flycatcher	Moucherolle tchbec	Empidonax minimus	Passeriformes	Tyrannidae (Tyrant Flycatchers)	16963	El Pilar Archaeological Site	BZ-CY	29-Nov-11	L499342	S15367578		1
1299	520	6849	species	Least Grebe	Grbe minime	Tachybaptus dominicus	Podicipediformes	Podicipedidae (Grebes)	6849	Represa Cameguadua	CO-CAL	16-Dec-14	L3786045	S20932040		1
1849	461	6226	species	Least Sandpiper	Bcasseau minuscule	Calidris minutilla	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6226	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
896	497	6576	species	Lesser Black-backed Gull	Goland brun	Larus fuscus	Charadriiformes	"Laridae (Gulls, Terns, and Skimmers)"	6576	Hillman Marsh CA (general location)	CA-ON	10-May-17	L283720	S36716767		1
211	513	6783	species	Lesser Crested Tern	Sterne voyageuse	Thalasseus bengalensis	Charadriiformes	"Laridae (Gulls, Terns, and Skimmers)"	6783	"MG (-23,465, 43,682)"	MG-U	15-Nov-24	L38036784	S202791306		1
1575	1747	32609	species	Lesser Goldfinch	Chardonneret mineur	Spinus psaltria	Passeriformes	"Fringillidae (Finches, Euphonias, and Allies)"	32609	Point Loma--general area	US-CA	13-Oct-13	L109307	S15396825		1
1801	1328	19136	species	Lesser Greenlet	Viron menu	Pachysylvia decurtata	Passeriformes	"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"	19136	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
321	180	3034	species	Lesser Ground-Cuckoo	Gocoucou de Lesson	Morococcyx erythropygus	Cuculiformes	Cuculidae (Cuckoos)	3034	Guacimo Road	CR-P	16-Jun-22	L1456808	S113178762		1
1325	424	5999	species	Lesser Jacana	Jacana nain	Microparra capensis	Charadriiformes	Jacanidae (Jacanas)	5999	Moremi--Khwai River (north side)	BW-NW	12-Oct-14	L1220375	S20696861		1
1028	1221	17365	species	Lesser Kiskadee	Tyran licteur	Philohydor lictor	Passeriformes	Tyrannidae (Tyrant Flycatchers)	17365	Gamboa Rainforest Reserve--Camino al telefrico	PA-3	16-Nov-16	L3275044	S32587104		1
1407	1672	30817	species	Lesser Masked-Weaver	Tisserin intermdiaire	Ploceus intermedius	Passeriformes	Ploceidae (Weavers and Allies)	30817	Kruger NP--southern section (please be more specific)	ZA-MP	28-Sep-14	L972510	S20390197		1
1635	60	700	species	Lesser Scaup	Petit Fuligule	Aythya affinis	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	700	Merritt Island NWR--Black Point Wildlife Drive	US-FL	01-Jan-13	L127381	S15371043		1
1438	1503	24254	species	Lesser Striped Swallow	Hirondelle strie	Cecropis abyssinica	Passeriformes	Hirundinidae (Swallows)	24254	Kruger NP--Letaba-Olifants Rd	ZA-LP	26-Sep-14	L2355950	S20351042		1
1029	226	4169	species	Lesser Swallow-tailed Swift	Martinet de Cayenne	Panyptila cayennensis	Apodiformes	Apodidae (Swifts)	4169	Gamboa Rainforest Reserve--Camino al telefrico	PA-3	16-Nov-16	L3275044	S32587104		1
255	924	12226	species	Lesser Vasa Parrot	Vaza noir	Coracopsis nigra	Psittaciformes	Psittaculidae (Old World Parrots)	12226	Analamazaotra Forest Station	MG-A	07-Nov-24	L3936735	S202373995		1
1246	243	4359	species	Lesser Violetear	Colibri cyanote	Colibri cyanotus	Apodiformes	Trochilidae (Hummingbirds)	4359	Reserva Ecolgica Ro Blanco--Lodge	CO-CAL	18-Dec-14	L1252500	S20954319		1
1840	637	7823	species	Lesser Yellow-headed Vulture	Urubu  tte jaune	Cathartes burrovianus	Cathartiformes	Cathartidae (New World Vultures)	7823	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
1648	446	6145	species	Lesser Yellowlegs	Petit Chevalier	Tringa flavipes	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6145	Paynes Prairie Preserve SP--East of US 441 (Please consider using a more specific location/hotspot)	US-FL	17-Dec-12	L127275	S15370904		1
1708	788	9857	species	Lesson's Motmot	Motmot de Lesson	Momotus lessonii	Coraciiformes	Momotidae (Motmots)	9857	Blue Hole National Park	BZ-CY	01-Dec-11	L2381840	S15367650		1
869	1253	17743	species	Lewin's Honeyeater	Mliphage de Lewin	Meliphaga lewinii	Passeriformes	Meliphagidae (Honeyeaters)	17743	Blue Mountains Botanic Garden	AU-NSW	09-Oct-17	L2556612	S39782646		1
6	350	5339	species	Lewin's Rail	Rle  poitrine grise	Lewinia pectoralis	Gruiformes	"Rallidae (Rails, Gallinules, and Coots)"	5339	Rotary Centennial Park (Kingston Beach)	AU-TAS	23-Nov-25	L2548356	S285703468		1
1999	815	10332	species	Lilac-breasted Roller	Rollier  longs brins	Coracias caudatus	Coraciiformes	Coraciidae (Rollers)	10332	Lake Manyara NP (Arusha)	TZ-01	09-Aug-05	L1033409	S15379179		1
1740	374	5671	species	Limpkin	Courlan brun	Aramus guarauna	Gruiformes	Aramidae (Limpkin)	5671	Crooked Tree Village	BZ-BZ	28-Nov-11	L2084266	S15367479		1
1114	1790	33310	species	Lincoln's Sparrow	Bruant de Lincoln	Melospiza lincolnii	Passeriformes	Passerellidae (New World Sparrows)	33310	Magee Marsh--Boardwalk	US-OH	03-May-16	L275986	S29378061		1
525	1062	15166	species	Lineated Foliage-gleaner	Anabate verget	Syndactyla subalaris	Passeriformes	Furnariidae (Ovenbirds and Woodcreepers)	15166	San Jorge de Milpe	EC-P	10-Apr-19	L1960641	S54821403		1
1823	886	11754	species	Lineated Woodpecker	Pic ouentou	Dryocopus lineatus	Piciformes	Picidae (Woodpeckers)	11754	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
158	155	2380	species	Lined Quail-Dove	Colombe bride	Zentrygon linearis	Columbiformes	Columbidae (Pigeons and Doves)	2380	"Santa Marta (Dist. ESP. ), Santa Marta CO-Magdalena 11.09748, -74.07725"	CO-MAG	07-Apr-25	L42260412	S223757802		1
2002	781	9783	species	Little Bee-eater	Gupier nain	Merops pusillus	Coraciiformes	Meropidae (Bee-eaters)	9783	Lake Manyara NP (Arusha)	TZ-01	09-Aug-05	L1033409	S15379179		1
