ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
652410597,Photo,Snowy Owl,Bubo scandiacus,,,Denis Rivard,2026-03-05,2026,3,5,1705,Canada,CA-QC-QU,Quebec,Québec,Parc commémoratif La Souvenance,46.8109983,-71.4089116,"",,Unspecified,false,false,,,,,,,S306279214,"",,,,,Bubo scandiacus,snoowl1,Species,8909,,.00,0,,1687,3000
652409882,Photo,Northern Hawk Owl,Surnia ulula,,,Denis Rivard,,,,,,Canada,CA-QC-QU,Quebec,Québec,,,,"",,Unspecified,false,false,,,,,,,,"",,,,,Surnia ulula,nohowl,Species,8999,,.00,0,,2250,3000
650699911,Photo,Red-necked Stint,Calidris ruficollis,,,Denis Rivard,2025-11-15,2025,11,15,1140,Australia,AU-VIC-SUR,Victoria,Surf Coast,Point Roadknight,-38.4289166,144.1810942,"",,Unspecified,false,false,,,,,,,S284476977,"",,,,,Calidris ruficollis,rensti,Species,6186,,.00,0,,1687,3000
649664113,Photo,White-winged Snowfinch,Montifringilla nivalis,,,Denis Rivard,2026-01-26,2026,1,26,1255,France,FR-ARA-73,Auvergne-Rhône-Alpes,Savoie,"Les 3 Vallées, Les Allues FR-Auvergne-Rhône-Alpes 45.34169, 6.58969",45.3416910,6.5896930,"",,Unspecified,false,false,,,,,,,S296371696,"",,,,,Montifringilla nivalis,whwsno1,Species,31641,,5.00,1,,1406,2500
647205362,Photo,Yellow-tufted Honeyeater,Lichenostomus melanops,,,Denis Rivard,2025-11-11,2025,11,11,1736,Australia,AU-VIC-IND,Victoria,Indigo,Chiltern-Mt Pilot National Park--Bartleys Block,-36.1259860,146.6113901,"",,Unspecified,false,false,,,,,,,S283964368,"",,,,,Lichenostomus melanops,yethon3,Species,17799,,.00,0,,1687,3000
647091072,Photo,Emu,Dromaius novaehollandiae,,,Denis Rivard,2025-11-05,2025,11,5,949,Australia,AU-SA-UNI,South Australia,Unincorporated SA,Ikara-Flinders Ranges National Park--Brachina Gorge Lookout,-31.3383258,138.5302591,"",,Unspecified,false,false,,,,,,,S282936967,"",,,,,Dromaius novaehollandiae,emu1,Species,15,,.00,0,,1687,3000
647033150,Photo,Cinnamon Quail-thrush,Cinclosoma cinnamomeum,,,Denis Rivard,2025-11-04,2025,11,4,753,Australia,AU-SA-UNI,South Australia,Unincorporated SA,"17–29 Mulgaria Rd, Witchelina AU-SA -30.06746, 138.13051",-30.0674640,138.1305110,"Adult Female – 1; Adult Male – 1",,Unspecified,false,false,,,,,,,S282786364,"",,,,,Cinclosoma cinnamomeum,ciqthr1,Species,18539,,3.00,1,,1687,3000
647027845,Photo,White-breasted Woodswallow,Artamus leucorynchus,,,Denis Rivard,2025-11-04,2025,11,4,710,Australia,AU-SA-UNI,South Australia,Unincorporated SA,Farina,-30.0643300,138.2780400,"",,Unspecified,false,false,,,,,,,S282786422,"",,,,,Artamus leucorynchus,whbwoo4,Species,19738,,.00,0,,1688,3000
646993081,Photo,Lace Monitor,Varanus varius,,"",Denis Rivard,2025-11-10,2025,11,10,1717,Australia,AU-NSW-CON,New South Wales,Conargo,Wanganella Travelling Stock Reserve,-35.2405817,144.8197815,"","",Unspecified,"","",,,,,,,S283856216,"",,,,,Varanus varius,t-12104288,Species,10000000,,.00,0,"",1688,3000
646992595,Photo,"Bennett's Wallaby",Notamacropus rufogriseus rufogriseus,,"",Denis Rivard,2025-11-18,2025,11,18,1657,Australia,AU-TAS-KIN,Tasmania,Kingborough,Cemetery Beach,-43.3463900,147.2258300,"","",Unspecified,"","",,,,,,,S285006600,"",,,,,Notamacropus rufogriseus,t-11051168,Subspecies,100595,,.00,0,"",1688,3000
646992258,Photo,Rufous-bellied Pademelon,Thylogale billardierii,,"",Denis Rivard,2025-11-19,2025,11,19,740,Australia,AU-TAS-KIN,Tasmania,Kingborough,Inala (restricted access),-43.3892691,147.2515583,"","",Unspecified,"","",,,,,,,S285114568,"",,,,,Thylogale billardierii,t-12077339,Species,100642,,.00,0,"",1688,3000
646990035,Photo,Gray Butcherbird,Cracticus torquatus,,,Denis Rivard,2025-11-22,2025,11,22,1356,Australia,AU-TAS-HOB,Tasmania,Hobart,Waterworks Reserve,-42.9073428,147.2914052,"",,Unspecified,false,false,,,,,,,S285520794,"",,,,,Cracticus torquatus,grybut1,Species,19773,,.00,0,,1687,3000
646989528,Photo,Grey-headed Flying-fox,Pteropus poliocephalus,,"",Denis Rivard,,,,,,Australia,AU-NSW-RAN,New South Wales,Randwick,,,,"","",Unspecified,"","",,,,,,,,"",,,,,Pteropus poliocephalus,t-11077374,Species,108537,,.00,0,"",1688,3000
646989357,Photo,Australasian Swamphen,Porphyrio melanotus,,,Denis Rivard,2025-11-25,2025,11,25,903,Australia,AU-NSW-RAN,New South Wales,Randwick,Centennial Park (Sydney),-33.8977058,151.2341452,"",,Unspecified,false,false,,,,,,,S286014189,"",,,,,Porphyrio melanotus,purswa6,Species,5525,,.00,0,,1687,3000
646989107,Photo,Grey-headed Flying-fox,Pteropus poliocephalus,,"",Denis Rivard,,,,,,Australia,AU-NSW-RAN,New South Wales,Randwick,,,,"","",Unspecified,"","",,,,,,,,"",,,,,Pteropus poliocephalus,t-11077374,Species,108537,,.00,0,"",1688,3000
646988175,Photo,Pied Cormorant,Phalacrocorax varius,,,Denis Rivard,2025-11-25,2025,11,25,1409,Australia,AU-NSW-MAN,New South Wales,Manly,Shelly Beach and headland (Manly),-33.7999199,151.2983250,"",,Unspecified,false,false,,,,,,,S286035363,"",,,,,Phalacrocorax varius,piecor1,Species,7414,,.00,0,,1688,3000
646987779,Photo,Experience,,,"Lookout at Shelly Beach headland, Manly, Australia.",Denis Rivard,2025-11-25,2025,11,25,1409,Australia,AU-NSW-MAN,New South Wales,Manly,Shelly Beach and headland (Manly),-33.7999199,151.2983250,"","",Unspecified,"","",,,,,,,S286035363,"",,,,,,,,,,.00,0,"",1688,3000
646987554,Photo,Australian Water Dragon,Intellagama lesueurii,,"",Denis Rivard,2025-11-25,2025,11,25,1409,Australia,AU-NSW-MAN,New South Wales,Manly,Shelly Beach and headland (Manly),-33.7999199,151.2983250,"","",Unspecified,"","",,,,,,,S286035363,"",,,,,Intellagama lesueurii,t-11767405,Species,10000000,,.00,0,"",1688,3000
646982981,Photo,Australian Raven,Corvus coronoides,,,Denis Rivard,2025-11-25,2025,11,25,1409,Australia,AU-NSW-MAN,New South Wales,Manly,Shelly Beach and headland (Manly),-33.7999199,151.2983250,Juvenile – 2,,Unspecified,false,false,,,,,,,S286035363,"",,,,,Corvus coronoides,ausrav1,Species,21608,,.00,0,,1687,3000
646982358,Photo,Australian Brushturkey,Alectura lathami,,,Denis Rivard,2025-11-25,2025,11,25,1409,Australia,AU-NSW-MAN,New South Wales,Manly,Shelly Beach and headland (Manly),-33.7999199,151.2983250,"",,Unspecified,false,false,,,,,,,S286035363,"",,,,,Alectura lathami,ausbrt1,Species,795,,.00,0,,1687,3000
646981922,Photo,Common Myna,Acridotheres tristis,,,Denis Rivard,2025-11-25,2025,11,25,903,Australia,AU-NSW-RAN,New South Wales,Randwick,Centennial Park (Sydney),-33.8977058,151.2341452,"",,Unspecified,false,false,,,,,,,S286014189,"",,,,,Acridotheres tristis,commyn,Species,27859,,5.00,1,,1875,3000
646981468,Photo,Australasian Figbird,Sphecotheres vieilloti,,,Denis Rivard,2025-11-25,2025,11,25,903,Australia,AU-NSW-RAN,New South Wales,Randwick,Centennial Park (Sydney),-33.8977058,151.2341452,"",,Unspecified,false,false,,,,,,,S286014189,"",,,,,Sphecotheres vieilloti,ausfig1,Species,19708,,.00,0,,1688,3000
646980970,Photo,Little Pied Cormorant,Microcarbo melanoleucos,,,Denis Rivard,2025-11-25,2025,11,25,903,Australia,AU-NSW-RAN,New South Wales,Randwick,Centennial Park (Sydney),-33.8977058,151.2341452,"",,Unspecified,false,false,,,,,,,S286014189,"",,,,,Microcarbo melanoleucos,lipcor1,Species,7377,,.00,0,,1688,3000
646980685,Photo,Powerful Owl,Ninox strenua,,,Denis Rivard,2025-11-24,2025,11,24,1644,Australia,AU-NSW-SYD,New South Wales,Sydney,Royal Botanic Gardens (Sydney),-33.8638957,151.2167577,"",,Unspecified,false,false,,,,,,,S285898510,"",,,,,Ninox strenua,powowl1,Species,9323,,.00,0,,1688,3000
646980380,Photo,Noisy Miner,Manorina melanocephala,,,Denis Rivard,2025-11-24,2025,11,24,1521,Australia,AU-NSW-SYD,New South Wales,Sydney,Royal Botanic Gardens (Sydney),-33.8638957,151.2167577,"",,Unspecified,false,false,,,,,,,S285893084,"",,,,,Manorina melanocephala,noimin1,Species,17808,,.00,0,,1687,3000
646979953,Photo,Australasian Figbird,Sphecotheres vieilloti,,,Denis Rivard,2025-11-24,2025,11,24,1521,Australia,AU-NSW-SYD,New South Wales,Sydney,Royal Botanic Gardens (Sydney),-33.8638957,151.2167577,"",,Unspecified,false,false,,,,,,,S285893084,"",,,,,Sphecotheres vieilloti,ausfig1,Species,19708,,.00,0,,1687,3000
646979660,Photo,Australian Magpie,Gymnorhina tibicen,,,Denis Rivard,2025-11-23,2025,11,23,1520,Australia,AU-TAS-KIN,Tasmania,Kingborough,Rotary Centennial Park (Kingston Beach),-42.9783400,147.3240000,"",,Unspecified,false,false,,,,,,,S285703468,"",,,,,Gymnorhina tibicen,ausmag2,Species,19793,,.00,0,,1688,3000
646979043,Photo,"Lewin's Rail",Lewinia pectoralis,,,Denis Rivard,2025-11-23,2025,11,23,1520,Australia,AU-TAS-KIN,Tasmania,Kingborough,Rotary Centennial Park (Kingston Beach),-42.9783400,147.3240000,"",,Unspecified,false,false,,,,,,,S285703468,"",,,,,Lewinia pectoralis,lewrai1,Species,5339,,.00,0,,1687,3000
646978169,Photo,Hoary-headed Grebe,Poliocephalus poliocephalus,,,Denis Rivard,2025-11-23,2025,11,23,1350,Australia,AU-TAS-HOB,Tasmania,Hobart,Waterworks Reserve,-42.9073428,147.2914052,"",,Unspecified,false,false,,,,,,,S285696077,"",,,,,Poliocephalus poliocephalus,hohgre1,Species,6860,,3.00,1,,1687,3000
646976210,Photo,Black Currawong,Strepera fuliginosa,,,Denis Rivard,2025-11-23,2025,11,23,1143,Australia,AU-TAS-HOB,Tasmania,Hobart,Fern Tree,-42.9228600,147.2605700,"",,Unspecified,false,false,,,,,,,S285690908,"",,,,,Strepera fuliginosa,blacur2,Species,19814,,.00,0,,1687,3000
646975881,Photo,Superb Fairywren,Malurus cyaneus,,,Denis Rivard,2025-11-22,2025,11,22,1549,Australia,AU-TAS-HOB,Tasmania,Hobart,Wellington Park--Sphinx Rock Track,-42.9052697,147.2473112,"",,Unspecified,false,false,,,,,,,S285526160,"",,,,,Malurus cyaneus,supfai1,Species,17670,,.00,0,,1687,3000
646975174,Photo,Gray Goshawk,Tachyspiza novaehollandiae,,,Denis Rivard,2025-11-22,2025,11,22,1549,Australia,AU-TAS-HOB,Tasmania,Hobart,Wellington Park--Sphinx Rock Track,-42.9052697,147.2473112,"",,Unspecified,false,false,,,,,,,S285526160,"",,,,,Tachyspiza novaehollandiae,grygos1,Species,8187,,.00,0,,1688,3000
646974396,Photo,Tasmanian Echidna,Tachyglossus aculeatus setosus,,"",Denis Rivard,2025-11-22,2025,11,22,1207,Australia,AU-TAS-HOB,Tasmania,Hobart,Knocklofty Reserve,-42.8825800,147.2951800,"","",Unspecified,"","",,,,,,,S285513715,"",,,,,Tachyglossus aculeatus,t-12083032,Subspecies,100009,,.00,0,"",1688,3000
646974146,Photo,Tawny Frogmouth,Podargus strigoides,,,Denis Rivard,2025-11-22,2025,11,22,1207,Australia,AU-TAS-HOB,Tasmania,Hobart,Knocklofty Reserve,-42.8825800,147.2951800,"",,Unspecified,false,false,,,,,,,S285513715,"",,,,,Podargus strigoides,tawfro1,Species,3768,,.00,0,,1688,3000
646973984,Photo,Brown Thornbill,Acanthiza pusilla,,,Denis Rivard,2025-11-22,2025,11,22,1207,Australia,AU-TAS-HOB,Tasmania,Hobart,Knocklofty Reserve,-42.8825800,147.2951800,"",,Unspecified,false,false,,,,,,,S285513715,"",,,,,Acanthiza pusilla,brotho1,Species,18402,,4.00,1,,1687,3000
646973842,Photo,Yellow Wattlebird,Anthochaera paradoxa,,,Denis Rivard,2025-11-22,2025,11,22,1207,Australia,AU-TAS-HOB,Tasmania,Hobart,Knocklofty Reserve,-42.8825800,147.2951800,"",,Unspecified,false,false,,,,,,,S285513715,"",,,,,Anthochaera paradoxa,yelwat1,Species,17869,,.00,0,,1687,3000
646972026,Photo,Freckled Duck,Stictonetta naevosa,,,Denis Rivard,2025-11-21,2025,11,21,1451,Australia,AU-TAS-GLE,Tasmania,Glenorchy,Goulds Lagoon Wildlife Sanctuary,-42.7646267,147.2414303,"",,Unspecified,false,false,,,,,,,S285385643,"",,,,,Stictonetta naevosa,freduc1,Species,375,,.00,0,,1687,3000
646971715,Photo,Australasian Shoveler,Spatula rhynchotis,,,Denis Rivard,2025-11-21,2025,11,21,1451,Australia,AU-TAS-GLE,Tasmania,Glenorchy,Goulds Lagoon Wildlife Sanctuary,-42.7646267,147.2414303,"",,Unspecified,false,false,,,,,,,S285385643,"",,,,,Spatula rhynchotis,aussho1,Species,498,,.00,0,,1688,3000
646971327,Photo,Tasmanian Nativehen,Tribonyx mortierii,,,Denis Rivard,2025-11-21,2025,11,21,1451,Australia,AU-TAS-GLE,Tasmania,Glenorchy,Goulds Lagoon Wildlife Sanctuary,-42.7646267,147.2414303,"Adult – 1; Juvenile – 2",,Unspecified,false,false,,,,,,,S285385643,"",,,,,Tribonyx mortierii,tanhen1,Species,5450,,.00,0,,1687,3000
646971091,Photo,Chestnut Teal,Anas castanea,,,Denis Rivard,2025-11-21,2025,11,21,1451,Australia,AU-TAS-GLE,Tasmania,Glenorchy,Goulds Lagoon Wildlife Sanctuary,-42.7646267,147.2414303,"",,Unspecified,false,false,,,,,,,S285385643,"",,,,,Anas castanea,chetea1,Species,642,,.00,0,,1688,3000
646970889,Photo,Gray Teal,Anas gracilis,,,Denis Rivard,2025-11-21,2025,11,21,1451,Australia,AU-TAS-GLE,Tasmania,Glenorchy,Goulds Lagoon Wildlife Sanctuary,-42.7646267,147.2414303,"",,Unspecified,false,false,,,,,,,S285385643,"",,,,,Anas gracilis,gretea1,Species,637,,.00,0,,1687,3000
646970467,Photo,Tasmanian Thornbill,Acanthiza ewingii,,,Denis Rivard,2025-11-21,2025,11,21,1221,Australia,AU-TAS-DER,Tasmania,Derwent Valley,Mount Field National Park--Wombat Moor Track,-42.6843913,146.6113365,"",,Unspecified,false,false,,,,,,,S285377851,"",,,,,Acanthiza ewingii,tastho1,Species,18398,,.00,0,,1688,3000
646946656,Photo,Slender-billed Thornbill,Acanthiza iredalei,,,Denis Rivard,2025-11-03,2025,11,3,758,Australia,AU-SA-MAL,South Australia,Mallala,Port Gawler Conservation Park,-34.6614500,138.4466100,"",,Unspecified,false,false,,,,,,,S282631617,"",,,,,Acanthiza iredalei,slbtho2,Species,18411,,.00,0,,1687,3000
646946657,Photo,Slender-billed Thornbill,Acanthiza iredalei,,,Denis Rivard,2025-11-03,2025,11,3,758,Australia,AU-SA-MAL,South Australia,Mallala,Port Gawler Conservation Park,-34.6614500,138.4466100,"",,Unspecified,false,false,,,,,,,S282631617,"",,,,,Acanthiza iredalei,slbtho2,Species,18411,,.00,0,,1687,3000
646945769,Photo,Australian Crake,Porzana fluminea,,,Denis Rivard,2025-11-03,2025,11,3,758,Australia,AU-SA-MAL,South Australia,Mallala,Port Gawler Conservation Park,-34.6614500,138.4466100,"",,Unspecified,false,false,,,,,,,S282631617,"",,,,,Porzana fluminea,auscra1,Species,5457,,.00,0,,1687,3000
646945413,Photo,Masked Lapwing,Vanellus miles,,,Denis Rivard,2025-11-01,2025,11,1,1443,Australia,AU-SA-ADL,South Australia,Adelaide,Adelaide Botanic Garden,-34.9206779,138.6109024,"",,Unspecified,false,false,,,,,,,S282256242,"",,,,,Vanellus miles,maslap1,Species,5891,,4.00,1,,1687,3000
646944894,Photo,Crested Pigeon,Ocyphaps lophotes,,,Denis Rivard,2025-11-01,2025,11,1,1443,Australia,AU-SA-ADL,South Australia,Adelaide,Adelaide Botanic Garden,-34.9206779,138.6109024,"",,Unspecified,false,false,,,,,,,S282256242,"",,,,,Ocyphaps lophotes,crepig1,Species,2212,,3.00,1,,1687,3000
646944358,Photo,Rainbow Lorikeet,Trichoglossus moluccanus,,,Denis Rivard,2025-11-01,2025,11,1,1443,Australia,AU-SA-ADL,South Australia,Adelaide,Adelaide Botanic Garden,-34.9206779,138.6109024,"",,Unspecified,false,false,,,,,,,S282256242,"",,,,,Trichoglossus moluccanus,railor5,Species,12680,,.00,0,,1687,3000
646944036,Photo,Eastern Rosella,Platycercus eximius,,,Denis Rivard,2025-11-01,2025,11,1,1443,Australia,AU-SA-ADL,South Australia,Adelaide,Adelaide Botanic Garden,-34.9206779,138.6109024,"",,Unspecified,false,false,,,,,,,S282256242,"",,,,,Platycercus eximius,easros1,Species,12492,,.00,0,,1687,3000
646943609,Photo,Eastern Rosella,Platycercus eximius,,,Denis Rivard,2025-11-01,2025,11,1,1443,Australia,AU-SA-ADL,South Australia,Adelaide,Adelaide Botanic Garden,-34.9206779,138.6109024,"",,Unspecified,false,false,,,,,,,S282256242,"",,,,,Platycercus eximius,easros1,Species,12492,,.00,0,,1688,3000
646942865,Photo,Maned Duck,Chenonetta jubata,,,Denis Rivard,2025-11-01,2025,11,1,1443,Australia,AU-SA-ADL,South Australia,Adelaide,Adelaide Botanic Garden,-34.9206779,138.6109024,Adult Female – 1,,Unspecified,false,false,,,,,,,S282256242,"",,,,,Chenonetta jubata,manduc1,Species,459,,5.00,1,,1688,3000
646941610,Photo,Magpie-lark,Grallina cyanoleuca,,,Denis Rivard,2025-11-01,2025,11,1,1443,Australia,AU-SA-ADL,South Australia,Adelaide,Adelaide Botanic Garden,-34.9206779,138.6109024,Adult Male – 1,,Unspecified,false,false,,,,,,,S282256242,"",,,,,Grallina cyanoleuca,maglar1,Species,20947,,.00,0,,1687,3000
646941267,Photo,Dusky Moorhen,Gallinula tenebrosa,,,Denis Rivard,2025-11-01,2025,11,1,1443,Australia,AU-SA-ADL,South Australia,Adelaide,Adelaide Botanic Garden,-34.9206779,138.6109024,"",,Unspecified,false,false,,,,,,,S282256242,"",,,,,Gallinula tenebrosa,dusmoo1,Species,5478,,4.00,1,,1687,3000
646932986,Photo,Yellow-throated Honeyeater,Nesoptilotis flavicollis,,,Denis Rivard,2025-11-21,2025,11,21,1041,Australia,AU-TAS-DER,Tasmania,Derwent Valley,Mount Field National Park--Lake Dobson,-42.6843208,146.5937155,"",,Unspecified,false,false,,,,,,,S285377894,"",,,,,Nesoptilotis flavicollis,yethon1,Species,18119,,.00,0,,1688,3000
646932085,Photo,Yellow-rumped Thornbill,Acanthiza chrysorrhoa,,,Denis Rivard,2025-11-20,2025,11,20,1602,Australia,AU-TAS-DER,Tasmania,Derwent Valley,Westerway,-42.6739200,146.7906200,"",Foraging or Eating,Unspecified,"","",,,,,,,S285254701,"",,,,,Acanthiza chrysorrhoa,yertho1,Species,18377,,.00,0,"",1688,3000
646930691,Photo,Tasmanian Scrubwren,Sericornis humilis,,,Denis Rivard,2025-11-20,2025,11,20,1419,Australia,AU-TAS-DER,Tasmania,Derwent Valley,Mount Field National Park--Russell Falls Track,-42.6812600,146.7153300,"",,Unspecified,false,false,,,,,,,S285253283,"",,,,,Sericornis humilis,tasscr1,Species,18306,,.00,0,,1687,3000
646929470,Photo,Satin Flycatcher,Myiagra cyanoleuca,,,Denis Rivard,2025-11-20,2025,11,20,1419,Australia,AU-TAS-DER,Tasmania,Derwent Valley,Mount Field National Park--Russell Falls Track,-42.6812600,146.7153300,"",,Unspecified,false,false,,,,,,,S285253283,"",,,,,Myiagra cyanoleuca,satfly1,Species,20995,,.00,0,,1688,3000
646928942,Photo,Strong-billed Honeyeater,Melithreptus validirostris,,,Denis Rivard,2025-11-20,2025,11,20,1214,Australia,AU-TAS-DER,Tasmania,Derwent Valley,Junee Cave State Reserve,-42.7378800,146.5944900,"",,Unspecified,false,false,,,,,,,S285246874,"",,,,,Melithreptus validirostris,stbhon2,Species,18141,,.00,0,,1688,3000
646928017,Photo,Gray Shrikethrush,Colluricincla harmonica,,,Denis Rivard,2025-11-20,2025,11,20,1214,Australia,AU-TAS-DER,Tasmania,Derwent Valley,Junee Cave State Reserve,-42.7378800,146.5944900,"",,Unspecified,false,false,,,,,,,S285246874,"",,,,,Colluricincla harmonica,grysht1,Species,19318,,.00,0,,1688,3000
646924047,Photo,Hooded Plover,Thinornis cucullatus,,,Denis Rivard,2025-11-19,2025,11,19,1538,Australia,AU-TAS-KIN,Tasmania,Kingborough,Adventure Bay--Quiet Corner,-43.3564828,147.3273897,"",,Unspecified,false,false,,,,,,,S285128412,"",,,,,Thinornis cucullatus,hooplo2,Species,5837,,.00,0,,1688,3000
646923459,Photo,Silver Gull,Chroicocephalus novaehollandiae,,,Denis Rivard,2025-11-19,2025,11,19,1356,Australia,AU-TAS-KIN,Tasmania,Kingborough,Alonnah,-43.3177000,147.2449100,Immature – 1,,Unspecified,false,false,,,,,,,S285124377,"",,,Immature,,Chroicocephalus novaehollandiae,silgul2,Species,6463,,.00,0,,1687,3000
646922978,Photo,Black-faced Cormorant,Phalacrocorax fuscescens,,,Denis Rivard,2025-11-19,2025,11,19,1356,Australia,AU-TAS-KIN,Tasmania,Kingborough,Alonnah,-43.3177000,147.2449100,"",,Unspecified,false,false,,,,,,,S285124377,"",,,,,Phalacrocorax fuscescens,blfcor1,Species,7417,,4.00,1,,1688,3000
646922613,Photo,Pacific Gull,Larus pacificus,,,Denis Rivard,2025-11-19,2025,11,19,1356,Australia,AU-TAS-KIN,Tasmania,Kingborough,Alonnah,-43.3177000,147.2449100,"",,Unspecified,false,false,,,,,,,S285124377,"",,,,,Larus pacificus,pacgul1,Species,6506,,.00,0,,1687,3000
646922168,Photo,Pacific Gull,Larus pacificus,,,Denis Rivard,2025-11-19,2025,11,19,1356,Australia,AU-TAS-KIN,Tasmania,Kingborough,Alonnah,-43.3177000,147.2449100,"",,Unspecified,false,false,,,,,,,S285124377,"",,,,,Larus pacificus,pacgul1,Species,6506,,.00,0,,1687,3000
